amount,failure_reason,payment_method,customer_success_rate,previous_attempts,hours_since_failure,intervention,recovered,recovered_amount
3782.77,insufficient_funds,wallet,0.907,1,57.14,request_alternative_payment,0,0.0
3454.08,card_declined,upi,0.796,0,3.96,retry_later,0,0.0
9932.56,card_declined,upi,0.739,2,13.3,request_alternative_payment,0,0.0
4290.46,card_declined,wallet,0.684,0,1.92,retry_now,1,4290.46
1801.99,expired_card,upi,0.729,3,5.09,request_alternative_payment,1,1801.99
2019.42,card_declined,upi,0.991,1,3.46,request_alternative_payment,1,2019.42
2396.18,card_declined,card,0.835,2,29.94,request_card_update,1,2396.18
7442.2,insufficient_funds,card,0.685,0,6.73,retry_later,0,0.0
5603.43,network_error,wallet,0.815,0,21.78,request_card_update,0,0.0
8686.99,insufficient_funds,card,0.725,0,22.92,request_alternative_payment,1,8686.99
3552.44,insufficient_funds,card,0.647,1,13.54,request_card_update,1,3552.44
5676.13,card_declined,card,0.708,2,1.45,request_alternative_payment,1,5676.13
8247.5,card_declined,upi,0.541,1,9.95,retry_now,0,0.0
3903.84,expired_card,card,0.828,2,6.94,retry_now,0,0.0
7205.6,network_error,wallet,0.642,0,4.2,retry_now,1,7205.6
2944.38,network_error,card,0.706,3,19.75,retry_now,0,0.0
3739.66,insufficient_funds,netbanking,0.74,1,29.39,retry_now,0,0.0
3684.18,card_declined,upi,0.764,0,23.2,request_card_update,0,0.0
1920.85,expired_card,upi,0.956,1,10.4,retry_now,0,0.0
7381.79,card_declined,card,0.918,1,10.11,retry_later,1,7381.79
3434.65,network_error,card,0.923,2,6.04,request_card_update,0,0.0
5050.23,card_declined,netbanking,0.802,0,5.24,request_alternative_payment,1,5050.23
7345.11,insufficient_funds,netbanking,0.549,1,12.5,retry_later,0,0.0
7146.79,card_declined,card,0.534,2,20.64,retry_now,0,0.0
8514.29,insufficient_funds,wallet,0.88,4,12.05,retry_now,0,0.0
4621.18,insufficient_funds,netbanking,0.698,0,27.18,retry_now,0,0.0
3563.7,insufficient_funds,card,0.658,1,0.79,request_alternative_payment,0,0.0
4691.08,insufficient_funds,upi,0.79,1,6.4,retry_later,0,0.0
1296.37,card_declined,netbanking,0.603,1,44.76,request_alternative_payment,1,1296.37
1571.06,expired_card,netbanking,0.506,1,12.24,retry_later,1,1571.06
1735.47,card_declined,card,0.915,0,5.04,request_alternative_payment,0,0.0
2251.6,network_error,card,0.885,1,1.0,retry_now,1,2251.6
6884.4,card_declined,card,0.581,0,25.59,retry_now,0,0.0
2423.12,insufficient_funds,card,0.849,2,0.56,request_card_update,0,0.0
3694.73,insufficient_funds,card,0.914,2,6.7,retry_later,1,3694.73
14137.35,expired_card,upi,0.529,0,6.99,request_card_update,1,14137.35
3760.03,card_declined,upi,0.938,0,24.29,retry_now,1,3760.03
9020.05,expired_card,card,0.874,1,22.55,retry_later,0,0.0
2369.18,insufficient_funds,upi,0.53,2,5.84,retry_later,1,2369.18
4242.22,network_error,card,0.712,1,40.34,request_alternative_payment,1,4242.22
2338.29,network_error,card,0.679,0,4.26,retry_now,1,2338.29
3812.22,expired_card,netbanking,0.908,1,18.43,retry_now,0,0.0
9793.16,insufficient_funds,netbanking,0.688,0,22.17,retry_now,0,0.0
1255.56,expired_card,card,0.99,0,39.77,retry_now,0,0.0
7077.9,card_declined,netbanking,0.915,0,7.13,retry_later,1,7077.9
6047.39,network_error,netbanking,0.799,2,17.0,retry_now,0,0.0
3108.43,card_declined,upi,0.512,2,10.24,request_alternative_payment,0,0.0
1572.38,card_declined,wallet,0.829,0,2.61,retry_now,0,0.0
5297.0,card_declined,card,0.895,0,1.58,retry_now,1,5297.0
3273.45,network_error,card,0.643,0,15.69,retry_later,0,0.0
6022.96,insufficient_funds,netbanking,0.991,1,5.94,retry_now,1,6022.96
5088.18,card_declined,upi,0.775,0,0.95,retry_now,1,5088.18
18008.81,card_declined,card,0.725,2,31.99,request_alternative_payment,0,0.0
4128.66,network_error,card,0.727,2,12.67,retry_later,1,4128.66
2204.81,card_declined,card,0.577,2,24.58,retry_now,0,0.0
5771.08,network_error,card,0.704,0,12.89,retry_now,1,5771.08
5962.17,card_declined,card,0.715,1,29.35,request_card_update,1,5962.17
14832.01,network_error,wallet,0.776,0,11.26,request_alternative_payment,1,14832.01
9752.53,network_error,card,0.766,1,21.56,retry_later,1,9752.53
6652.11,network_error,netbanking,0.927,0,3.09,request_card_update,1,6652.11
16120.31,network_error,card,0.841,0,2.5,request_alternative_payment,1,16120.31
1931.75,card_declined,card,0.538,0,2.37,retry_later,1,1931.75
2997.07,insufficient_funds,wallet,0.721,1,28.55,retry_now,0,0.0
2382.56,network_error,card,0.818,2,30.08,retry_now,1,2382.56
3660.46,insufficient_funds,card,0.416,4,8.14,request_card_update,1,3660.46
1662.11,insufficient_funds,netbanking,0.736,2,0.54,retry_now,0,0.0
8310.82,network_error,card,0.821,3,24.57,request_alternative_payment,1,8310.82
4185.64,card_declined,card,0.665,0,14.23,request_card_update,0,0.0
1541.56,card_declined,wallet,0.912,2,20.32,request_alternative_payment,0,0.0
2218.82,expired_card,card,0.503,0,40.86,request_card_update,0,0.0
6425.34,insufficient_funds,upi,0.707,1,16.31,retry_later,1,6425.34
9776.09,insufficient_funds,card,0.862,1,4.04,retry_later,0,0.0
24700.48,insufficient_funds,card,0.68,2,14.36,retry_now,0,0.0
50000.0,insufficient_funds,upi,0.733,1,23.72,retry_now,1,50000.0
6965.47,network_error,upi,0.752,2,20.54,request_alternative_payment,0,0.0
2265.53,network_error,card,0.952,0,45.59,request_alternative_payment,0,0.0
908.28,card_declined,netbanking,0.526,3,5.99,request_card_update,0,0.0
6194.16,insufficient_funds,netbanking,0.824,0,3.82,retry_now,1,6194.16
2609.31,card_declined,upi,0.474,0,9.29,retry_later,0,0.0
3586.41,insufficient_funds,upi,0.577,1,2.77,retry_now,1,3586.41
3064.12,network_error,upi,0.861,0,7.05,retry_later,1,3064.12
4467.39,card_declined,upi,0.863,2,15.53,retry_later,1,4467.39
11730.85,insufficient_funds,card,0.629,0,2.78,retry_now,0,0.0
5669.36,network_error,netbanking,0.807,2,13.95,request_alternative_payment,1,5669.36
4404.07,network_error,upi,0.687,3,32.09,retry_now,0,0.0
2183.47,insufficient_funds,wallet,0.734,1,13.87,request_card_update,0,0.0
1309.56,card_declined,wallet,0.755,2,4.95,request_alternative_payment,0,0.0
3388.51,card_declined,card,0.774,1,13.8,retry_later,0,0.0
4789.43,insufficient_funds,card,0.956,0,3.74,retry_now,1,4789.43
20568.93,insufficient_funds,upi,0.857,1,21.79,retry_later,1,20568.93
5549.22,network_error,upi,0.474,1,34.11,request_card_update,1,5549.22
10975.1,expired_card,netbanking,0.519,1,13.48,request_alternative_payment,0,0.0
3353.49,card_declined,card,0.791,1,1.69,retry_later,0,0.0
1937.66,card_declined,upi,0.749,1,23.84,request_card_update,1,1937.66
2310.22,card_declined,wallet,0.487,3,34.89,retry_now,0,0.0
2798.99,card_declined,wallet,0.765,2,18.55,request_card_update,0,0.0
27445.82,insufficient_funds,card,0.807,2,4.8,retry_now,0,0.0
2591.74,card_declined,wallet,0.846,3,84.76,retry_later,0,0.0
9778.92,expired_card,card,0.635,1,0.61,request_alternative_payment,0,0.0
2428.07,network_error,upi,0.819,3,15.48,retry_later,0,0.0
10534.93,expired_card,card,0.534,1,50.33,retry_now,1,10534.93
6803.24,insufficient_funds,upi,0.481,0,10.86,request_card_update,0,0.0
4411.12,card_declined,card,0.69,2,3.27,retry_later,0,0.0
4839.58,card_declined,card,0.927,2,8.77,request_alternative_payment,1,4839.58
2961.24,insufficient_funds,card,0.704,1,1.7,request_card_update,0,0.0
7144.16,insufficient_funds,wallet,0.929,1,16.44,retry_now,1,7144.16
3474.5,network_error,upi,0.664,3,12.33,retry_later,0,0.0
1875.65,network_error,upi,0.563,0,11.35,request_alternative_payment,1,1875.65
1798.74,card_declined,upi,0.771,2,2.26,request_card_update,0,0.0
5740.28,insufficient_funds,card,0.41,0,8.35,retry_later,0,0.0
17684.9,card_declined,card,0.452,3,0.25,request_alternative_payment,0,0.0
5682.73,insufficient_funds,card,0.824,0,10.39,request_card_update,1,5682.73
4547.27,insufficient_funds,upi,0.758,1,29.04,retry_now,1,4547.27
6284.58,card_declined,wallet,0.579,2,5.41,request_card_update,1,6284.58
14214.17,insufficient_funds,card,0.552,0,6.3,request_alternative_payment,1,14214.17
5959.25,expired_card,upi,0.724,3,15.16,retry_later,0,0.0
3599.14,card_declined,netbanking,0.918,1,26.25,retry_now,1,3599.14
12115.3,insufficient_funds,wallet,0.681,0,36.34,retry_later,1,12115.3
7045.88,insufficient_funds,card,0.963,2,1.19,retry_later,1,7045.88
17082.3,network_error,wallet,0.958,0,0.54,retry_later,1,17082.3
5789.38,insufficient_funds,upi,0.754,3,1.4,request_alternative_payment,0,0.0
1877.35,insufficient_funds,upi,0.674,1,1.54,retry_later,1,1877.35
1673.49,card_declined,netbanking,0.686,3,15.44,request_alternative_payment,1,1673.49
18731.01,insufficient_funds,card,0.721,2,6.8,retry_later,0,0.0
19853.3,card_declined,netbanking,0.417,3,62.57,request_card_update,0,0.0
4331.1,card_declined,upi,0.846,1,2.16,request_alternative_payment,0,0.0
3679.91,insufficient_funds,netbanking,0.604,0,2.62,request_alternative_payment,1,3679.91
16096.36,network_error,netbanking,0.801,0,9.75,retry_now,1,16096.36
2062.26,card_declined,upi,0.946,0,11.58,retry_later,0,0.0
2444.05,card_declined,card,0.787,3,17.29,request_card_update,0,0.0
8365.36,insufficient_funds,card,0.619,4,7.26,retry_later,0,0.0
3646.45,card_declined,netbanking,0.851,0,67.72,request_card_update,1,3646.45
4979.55,insufficient_funds,upi,0.877,0,22.99,retry_now,0,0.0
4387.17,card_declined,netbanking,0.758,0,2.26,retry_now,1,4387.17
6550.21,insufficient_funds,card,0.911,1,19.45,retry_now,0,0.0
15416.27,expired_card,upi,0.936,1,7.11,retry_now,0,0.0
5375.79,insufficient_funds,netbanking,0.636,4,6.43,retry_now,0,0.0
8369.46,expired_card,netbanking,0.418,1,1.9,request_alternative_payment,0,0.0
969.77,expired_card,card,0.755,1,2.21,request_alternative_payment,1,969.77
4808.88,card_declined,card,0.644,2,27.83,request_card_update,0,0.0
2546.84,insufficient_funds,netbanking,0.828,0,21.63,retry_now,0,0.0
1885.87,card_declined,netbanking,0.851,2,4.5,retry_now,0,0.0
2476.67,expired_card,card,0.591,2,4.5,request_alternative_payment,0,0.0
3827.22,card_declined,upi,0.711,3,16.21,request_card_update,0,0.0
10403.68,card_declined,card,0.783,4,22.92,request_alternative_payment,0,0.0
1730.35,insufficient_funds,card,0.765,1,5.61,request_card_update,0,0.0
5124.04,network_error,card,0.657,2,36.14,request_alternative_payment,0,0.0
3394.32,insufficient_funds,card,0.546,4,19.81,request_card_update,0,0.0
3847.02,insufficient_funds,netbanking,0.681,2,11.38,retry_now,0,0.0
11152.28,insufficient_funds,card,0.498,1,3.64,request_alternative_payment,0,0.0
7690.07,card_declined,netbanking,0.821,0,3.23,retry_later,0,0.0
14575.71,expired_card,upi,0.263,1,16.45,request_card_update,0,0.0
4418.65,network_error,card,0.916,3,7.39,request_card_update,1,4418.65
2865.33,insufficient_funds,card,0.772,0,3.33,retry_now,1,2865.33
4180.17,card_declined,card,0.87,3,18.99,retry_now,0,0.0
6070.47,network_error,upi,0.972,1,96.0,request_card_update,0,0.0
5758.61,card_declined,wallet,0.928,2,7.28,request_card_update,0,0.0
2099.98,insufficient_funds,netbanking,0.924,1,2.83,request_alternative_payment,1,2099.98
5375.38,card_declined,netbanking,0.901,0,2.92,request_alternative_payment,1,5375.38
6001.57,card_declined,netbanking,0.783,4,4.45,retry_later,0,0.0
37465.37,expired_card,netbanking,0.883,1,3.98,request_card_update,0,0.0
22441.54,network_error,upi,0.552,2,27.33,request_card_update,1,22441.54
2526.52,insufficient_funds,upi,0.712,3,9.13,request_alternative_payment,0,0.0
3973.04,network_error,card,0.78,1,10.1,request_alternative_payment,0,0.0
1550.67,insufficient_funds,card,0.847,0,11.69,retry_now,1,1550.67
3117.0,expired_card,upi,0.569,0,8.85,request_card_update,0,0.0
6436.09,card_declined,upi,0.886,1,11.17,request_card_update,1,6436.09
13119.78,insufficient_funds,card,0.635,2,18.19,retry_later,0,0.0
2790.36,card_declined,wallet,0.592,1,8.95,request_card_update,1,2790.36
2962.76,insufficient_funds,card,0.788,1,1.78,request_alternative_payment,0,0.0
897.27,insufficient_funds,upi,0.853,2,16.49,request_card_update,0,0.0
4389.89,card_declined,wallet,0.751,0,19.11,retry_later,0,0.0
2137.22,network_error,card,0.75,1,45.25,request_card_update,0,0.0
3273.59,network_error,wallet,0.702,3,11.68,request_alternative_payment,1,3273.59
2479.23,card_declined,netbanking,0.93,0,4.6,retry_later,0,0.0
4636.82,insufficient_funds,upi,0.369,2,36.32,request_alternative_payment,0,0.0
1225.39,card_declined,wallet,0.743,1,32.2,retry_later,0,0.0
1546.2,card_declined,upi,0.812,2,13.53,request_alternative_payment,1,1546.2
27462.89,insufficient_funds,upi,0.711,3,10.03,retry_later,1,27462.89
1785.15,expired_card,upi,0.728,3,26.69,request_card_update,0,0.0
2079.25,expired_card,card,0.88,2,1.27,request_alternative_payment,0,0.0
21735.98,insufficient_funds,card,0.833,1,3.76,retry_now,1,21735.98
50000.0,network_error,card,0.809,0,28.54,request_alternative_payment,0,0.0
1958.51,card_declined,card,0.765,2,3.03,request_alternative_payment,1,1958.51
3724.15,insufficient_funds,netbanking,0.608,2,21.84,request_alternative_payment,0,0.0
6571.11,card_declined,wallet,0.935,0,12.61,request_alternative_payment,0,0.0
19933.39,insufficient_funds,wallet,0.665,2,96.0,request_card_update,0,0.0
2270.39,insufficient_funds,card,0.782,2,33.32,request_alternative_payment,0,0.0
4109.15,expired_card,upi,0.937,1,9.21,request_alternative_payment,0,0.0
9312.04,card_declined,upi,0.77,3,0.44,retry_later,0,0.0
7079.84,insufficient_funds,card,0.879,3,0.9,retry_later,0,0.0
3700.67,card_declined,upi,0.796,0,3.65,retry_later,1,3700.67
4492.37,expired_card,card,0.802,0,17.78,retry_later,0,0.0
1664.49,card_declined,wallet,0.594,0,0.55,retry_later,1,1664.49
4132.57,expired_card,card,0.371,3,12.69,request_alternative_payment,0,0.0
4040.34,expired_card,netbanking,0.297,0,68.0,retry_later,0,0.0
6020.52,insufficient_funds,netbanking,0.769,1,14.29,request_card_update,0,0.0
3206.49,network_error,upi,0.661,0,42.1,retry_later,0,0.0
7291.2,network_error,card,0.566,1,1.33,request_card_update,0,0.0
11241.48,network_error,card,0.838,1,36.87,request_alternative_payment,0,0.0
5662.02,card_declined,wallet,0.932,0,11.21,request_card_update,0,0.0
6624.95,insufficient_funds,card,0.892,2,24.78,retry_later,1,6624.95
5217.21,insufficient_funds,card,0.772,1,3.1,retry_now,0,0.0
5000.34,card_declined,wallet,0.582,1,13.55,retry_now,1,5000.34
2807.21,network_error,netbanking,0.781,4,12.44,retry_now,0,0.0
6440.67,network_error,upi,0.858,0,6.9,retry_now,1,6440.67
4625.61,card_declined,card,0.928,4,23.05,request_card_update,1,4625.61
26681.56,insufficient_funds,upi,0.839,2,7.77,request_alternative_payment,0,0.0
17603.92,insufficient_funds,netbanking,0.756,0,5.12,retry_later,1,17603.92
6808.11,network_error,card,0.627,1,40.97,retry_now,0,0.0
2715.54,card_declined,card,0.922,0,5.33,request_card_update,0,0.0
2053.42,network_error,card,0.794,2,24.39,retry_later,0,0.0
12966.28,insufficient_funds,upi,0.79,0,39.65,request_alternative_payment,0,0.0
6169.62,card_declined,card,0.806,0,41.91,retry_now,1,6169.62
7341.57,expired_card,netbanking,0.504,2,14.65,request_alternative_payment,0,0.0
1238.34,insufficient_funds,card,0.835,2,10.33,retry_now,0,0.0
10500.14,insufficient_funds,card,0.842,2,1.28,retry_later,1,10500.14
7192.04,network_error,wallet,0.935,1,2.85,request_card_update,0,0.0
2056.68,card_declined,wallet,0.885,2,13.1,retry_now,0,0.0
3428.83,expired_card,upi,0.236,1,38.88,retry_now,0,0.0
6174.4,expired_card,wallet,0.95,3,18.13,request_alternative_payment,0,0.0
5214.33,network_error,card,0.902,2,6.22,retry_now,0,0.0
3957.85,insufficient_funds,upi,0.838,1,0.28,retry_later,1,3957.85
4602.72,card_declined,card,0.76,1,18.31,retry_now,0,0.0
4087.18,expired_card,upi,0.891,0,52.01,retry_now,0,0.0
5649.05,card_declined,netbanking,0.806,1,5.26,request_card_update,1,5649.05
16226.27,expired_card,netbanking,0.76,4,0.25,request_alternative_payment,0,0.0
641.54,network_error,card,0.963,3,17.16,request_card_update,1,641.54
4136.95,insufficient_funds,card,0.917,0,22.02,request_card_update,0,0.0
5758.33,card_declined,wallet,0.717,1,6.2,request_alternative_payment,1,5758.33
6335.91,network_error,upi,0.786,0,10.98,retry_now,0,0.0
3713.25,insufficient_funds,card,0.415,2,10.09,request_alternative_payment,0,0.0
1226.37,insufficient_funds,card,0.662,1,4.63,request_card_update,0,0.0
6500.21,network_error,card,0.655,3,30.07,request_card_update,1,6500.21
19911.91,insufficient_funds,card,0.809,0,6.8,request_card_update,1,19911.91
1465.72,insufficient_funds,card,0.726,1,14.78,retry_later,1,1465.72
9979.17,network_error,upi,0.76,1,3.74,retry_now,1,9979.17
3844.4,network_error,upi,0.841,1,3.02,request_alternative_payment,1,3844.4
4760.62,card_declined,upi,0.982,2,40.11,request_alternative_payment,1,4760.62
2153.55,expired_card,card,0.64,2,27.41,retry_now,0,0.0
3826.2,expired_card,card,0.779,0,21.69,request_alternative_payment,1,3826.2
14146.59,card_declined,card,0.783,3,8.64,retry_now,0,0.0
7969.02,insufficient_funds,netbanking,0.843,4,12.93,retry_now,1,7969.02
19991.1,network_error,netbanking,0.776,2,47.44,request_alternative_payment,0,0.0
12824.63,insufficient_funds,card,0.772,0,71.47,request_card_update,1,12824.63
7104.35,network_error,upi,0.848,0,2.46,retry_later,1,7104.35
20177.85,card_declined,upi,0.458,0,12.8,request_alternative_payment,1,20177.85
7103.82,card_declined,upi,0.778,4,4.03,retry_now,0,0.0
9697.12,card_declined,upi,0.584,1,13.39,request_alternative_payment,0,0.0
3943.94,card_declined,wallet,0.874,3,22.84,retry_now,1,3943.94
5273.4,expired_card,card,0.609,2,32.39,request_card_update,0,0.0
2861.94,insufficient_funds,upi,0.616,1,3.1,request_card_update,1,2861.94
11035.36,expired_card,upi,0.774,0,28.67,retry_later,0,0.0
1947.98,insufficient_funds,upi,0.617,1,28.35,request_card_update,0,0.0
9349.46,network_error,card,0.548,0,8.1,request_alternative_payment,1,9349.46
4292.7,expired_card,upi,0.443,1,23.88,request_card_update,0,0.0
12761.54,card_declined,card,0.805,0,11.52,retry_now,1,12761.54
9116.93,insufficient_funds,upi,0.899,1,3.13,request_alternative_payment,0,0.0
21454.94,network_error,upi,0.984,3,17.91,request_card_update,1,21454.94
8971.54,network_error,card,0.597,0,4.12,retry_now,1,8971.54
1421.63,insufficient_funds,wallet,0.867,0,26.6,request_alternative_payment,1,1421.63
4739.23,card_declined,netbanking,0.651,3,5.53,request_alternative_payment,0,0.0
1957.82,network_error,upi,0.467,2,89.45,request_alternative_payment,1,1957.82
3302.94,insufficient_funds,wallet,0.786,0,8.96,request_alternative_payment,0,0.0
16750.38,card_declined,netbanking,0.937,1,33.94,request_alternative_payment,0,0.0
8326.68,card_declined,card,0.473,0,21.99,retry_now,1,8326.68
2858.49,insufficient_funds,upi,0.737,0,24.98,request_alternative_payment,1,2858.49
2222.13,network_error,upi,0.639,2,0.25,retry_now,1,2222.13
5132.86,insufficient_funds,upi,0.81,0,3.47,retry_now,0,0.0
1889.27,expired_card,wallet,0.907,0,12.1,retry_now,0,0.0
2922.75,card_declined,upi,0.734,0,17.7,request_alternative_payment,0,0.0
6417.61,card_declined,card,0.778,2,55.97,request_card_update,0,0.0
12599.88,card_declined,upi,0.731,1,14.44,retry_later,0,0.0
8137.21,card_declined,netbanking,0.857,1,18.51,request_alternative_payment,0,0.0
799.64,network_error,card,0.93,0,4.24,retry_later,1,799.64
6378.49,network_error,card,0.441,3,9.42,request_alternative_payment,0,0.0
5296.6,network_error,card,0.479,3,19.25,retry_now,0,0.0
6962.58,card_declined,upi,0.695,2,28.77,request_card_update,1,6962.58
18217.92,insufficient_funds,card,0.931,2,5.58,retry_later,1,18217.92
959.68,insufficient_funds,card,0.936,4,23.12,retry_later,1,959.68
3116.02,network_error,card,0.871,1,1.93,request_alternative_payment,1,3116.02
8021.8,card_declined,upi,0.396,3,26.39,retry_later,0,0.0
1410.81,card_declined,card,0.77,3,60.37,retry_later,1,1410.81
16284.23,card_declined,card,0.821,1,69.99,retry_later,0,0.0
6713.52,card_declined,upi,0.764,0,16.22,request_card_update,1,6713.52
9842.45,network_error,card,0.901,1,8.31,retry_later,1,9842.45
3166.68,card_declined,card,0.565,2,18.2,retry_later,1,3166.68
9587.39,expired_card,upi,0.66,2,5.41,retry_now,0,0.0
11754.25,insufficient_funds,card,0.265,2,33.68,request_alternative_payment,0,0.0
6023.93,card_declined,card,0.496,0,2.57,retry_now,0,0.0
6031.28,insufficient_funds,card,0.776,0,19.28,request_alternative_payment,1,6031.28
6207.22,network_error,card,0.912,0,19.92,retry_later,1,6207.22
2506.19,card_declined,upi,0.863,1,17.45,retry_later,0,0.0
4443.38,card_declined,wallet,0.862,0,10.41,retry_now,0,0.0
4425.66,network_error,card,0.787,0,0.25,retry_later,1,4425.66
6794.77,card_declined,upi,0.615,4,9.63,retry_now,0,0.0
11126.14,insufficient_funds,wallet,0.751,2,12.11,request_card_update,0,0.0
2143.86,card_declined,upi,0.909,1,22.44,request_alternative_payment,1,2143.86
4524.15,insufficient_funds,netbanking,0.936,0,16.65,request_card_update,1,4524.15
16356.12,expired_card,upi,0.774,0,1.39,retry_now,0,0.0
2758.17,network_error,upi,0.9,1,47.4,retry_later,0,0.0
2589.95,network_error,wallet,0.792,0,53.78,retry_now,1,2589.95
5878.39,expired_card,card,0.73,0,30.49,retry_later,0,0.0
9825.16,network_error,wallet,0.69,2,22.23,request_alternative_payment,1,9825.16
5045.91,card_declined,upi,0.793,0,1.46,retry_now,0,0.0
14477.65,insufficient_funds,upi,0.859,3,0.78,retry_now,0,0.0
9923.18,card_declined,upi,0.919,3,19.08,retry_now,1,9923.18
9805.01,expired_card,card,0.892,1,20.18,request_alternative_payment,0,0.0
7789.15,expired_card,card,0.879,0,14.65,request_alternative_payment,1,7789.15
32186.93,network_error,wallet,0.787,1,0.59,retry_later,1,32186.93
4243.16,insufficient_funds,upi,0.908,3,9.24,retry_now,1,4243.16
1006.64,insufficient_funds,netbanking,0.722,2,13.57,retry_later,1,1006.64
18044.51,expired_card,card,0.783,0,3.72,retry_now,0,0.0
3466.96,insufficient_funds,card,0.437,2,4.33,retry_now,0,0.0
5450.69,card_declined,card,0.809,1,16.31,retry_now,0,0.0
