amount,failure_reason,payment_method,customer_success_rate,customer_tenure_days,historical_payments,historical_failed_payments,historical_recovered_payments,historical_recovery_rate,days_since_last_success,previous_attempts,hours_since_failure,payment_hour,previous_recovery_attempts,previous_recovery_success,customer_recovery_history,intervention,recovered,recovered_amount
3549.39,expired_card,card,0.709,362,14,4,4,1.0,44.74,0,34.54,6,1,1,1.0,request_card_update,1,3549.39
3772.47,insufficient_funds,upi,0.63,343,19,3,3,1.0,19.37,0,4.13,16,2,2,1.0,retry_later,0,0.0
7654.44,insufficient_funds,card,0.771,500,20,4,4,1.0,32.87,0,28.26,8,0,0,0.0,retry_now,1,7654.44
6697.89,card_declined,netbanking,0.743,1034,15,4,3,0.75,15.94,3,14.42,15,2,2,1.0,request_card_update,1,6697.89
6956.13,insufficient_funds,card,0.707,562,16,5,3,0.6,0.5,0,1.44,17,0,0,0.0,request_alternative_payment,0,0.0
7057.53,network_error,upi,0.58,506,18,12,7,0.5833333333333334,3.25,2,15.67,5,1,0,0.0,request_card_update,1,7057.53
27736.69,card_declined,upi,0.58,398,18,6,6,1.0,107.83,0,8.12,11,1,0,0.0,retry_now,0,0.0
3612.16,expired_card,card,0.827,532,14,2,2,1.0,63.94,3,23.54,8,1,1,1.0,retry_later,1,3612.16
3318.93,insufficient_funds,card,0.785,145,20,2,1,0.5,25.79,1,10.21,3,2,1,0.5,retry_later,0,0.0
2607.57,insufficient_funds,netbanking,0.674,656,15,1,1,1.0,13.89,2,22.1,0,3,3,1.0,retry_now,1,2607.57
8184.33,card_declined,upi,0.816,449,16,3,3,1.0,2.59,0,4.56,16,0,0,0.0,retry_later,1,8184.33
12337.16,insufficient_funds,card,0.796,680,18,4,3,0.75,6.06,2,7.88,5,1,1,1.0,request_card_update,1,12337.16
4564.37,expired_card,upi,0.619,487,10,2,2,1.0,12.82,2,21.66,1,2,0,0.0,request_card_update,0,0.0
2553.11,network_error,card,0.69,935,17,5,5,1.0,16.06,0,14.57,21,1,1,1.0,request_card_update,1,2553.11
2585.33,network_error,card,0.584,270,18,7,5,0.7142857142857143,40.99,1,27.69,22,0,0,0.0,request_alternative_payment,1,2585.33
8414.13,network_error,card,0.801,206,24,5,3,0.6,7.59,2,19.47,19,1,0,0.0,retry_later,1,8414.13
9061.56,insufficient_funds,netbanking,0.529,308,19,13,9,0.6923076923076923,14.55,0,29.66,2,0,0,0.0,request_alternative_payment,0,0.0
7721.13,insufficient_funds,card,0.905,318,21,3,3,1.0,46.65,0,13.65,20,1,1,1.0,request_alternative_payment,1,7721.13
2935.95,card_declined,upi,0.72,702,16,3,1,0.3333333333333333,24.88,1,15.94,22,4,4,1.0,retry_later,1,2935.95
6020.48,network_error,card,0.75,667,19,3,3,1.0,29.68,0,38.65,1,3,3,1.0,request_card_update,1,6020.48
5489.22,insufficient_funds,card,0.718,975,23,4,3,0.75,25.54,2,12.44,0,1,0,0.0,request_card_update,0,0.0
5955.94,insufficient_funds,card,0.857,232,13,3,3,1.0,0.78,0,12.62,15,5,4,0.8,retry_now,1,5955.94
10040.04,network_error,upi,0.699,515,21,8,7,0.875,1.56,4,5.79,15,2,2,1.0,retry_now,1,10040.04
5979.36,insufficient_funds,netbanking,0.855,627,20,1,1,1.0,18.39,2,36.95,14,1,1,1.0,request_alternative_payment,1,5979.36
8606.94,card_declined,netbanking,0.618,147,19,8,6,0.75,0.78,2,7.07,3,2,2,1.0,retry_now,1,8606.94
5277.76,insufficient_funds,card,0.818,260,18,2,2,1.0,11.94,0,5.01,15,0,0,0.0,retry_now,1,5277.76
6301.16,card_declined,card,0.737,445,15,6,5,0.8333333333333334,18.19,0,96.0,6,3,3,1.0,request_card_update,0,0.0
8285.18,card_declined,card,0.72,175,17,4,3,0.75,33.24,0,21.54,6,4,4,1.0,request_card_update,1,8285.18
1558.48,expired_card,netbanking,0.761,760,26,8,7,0.875,36.56,1,40.69,21,0,0,0.0,retry_now,1,1558.48
3871.73,network_error,upi,0.596,904,27,16,11,0.6875,14.23,0,8.47,23,0,0,0.0,retry_now,0,0.0
3431.99,insufficient_funds,netbanking,0.636,897,16,5,5,1.0,16.1,0,43.21,23,0,0,0.0,retry_now,0,0.0
2999.17,network_error,card,0.788,396,18,4,4,1.0,27.29,1,3.64,11,1,1,1.0,retry_later,1,2999.17
4012.14,network_error,upi,0.811,107,20,7,6,0.8571428571428571,16.59,0,10.65,18,3,3,1.0,request_alternative_payment,1,4012.14
16533.54,network_error,upi,0.906,238,14,3,3,1.0,10.61,3,8.68,1,2,1,0.5,retry_now,1,16533.54
2501.21,expired_card,upi,0.853,346,24,7,7,1.0,41.12,2,9.04,14,2,2,1.0,request_card_update,1,2501.21
10848.87,network_error,upi,0.761,220,22,5,3,0.6,43.56,0,3.3,15,3,3,1.0,request_alternative_payment,1,10848.87
1301.01,insufficient_funds,card,0.828,638,24,4,3,0.75,16.69,0,42.16,16,2,2,1.0,request_card_update,1,1301.01
3824.89,card_declined,card,0.96,128,13,0,0,0.0,2.59,1,56.22,0,1,1,1.0,retry_later,0,0.0
5695.29,insufficient_funds,wallet,0.836,311,25,2,1,0.5,48.48,1,5.23,23,0,0,0.0,request_alternative_payment,1,5695.29
7991.8,card_declined,card,0.653,296,18,5,5,1.0,30.98,0,3.67,15,2,1,0.5,request_card_update,1,7991.8
8832.33,expired_card,upi,0.983,906,13,2,2,1.0,5.58,4,41.16,4,2,2,1.0,request_card_update,1,8832.33
9432.07,card_declined,wallet,0.617,310,22,8,7,0.875,73.21,1,13.22,0,1,0,0.0,retry_later,1,9432.07
3782.77,insufficient_funds,upi,0.502,450,12,8,5,0.625,3.06,2,4.42,16,2,2,1.0,retry_now,1,3782.77
3454.08,expired_card,upi,0.89,446,16,2,2,1.0,13.18,1,0.89,2,1,1,1.0,request_alternative_payment,1,3454.08
9932.56,network_error,card,0.798,455,18,4,4,1.0,49.69,3,48.42,17,1,0,0.0,request_alternative_payment,1,9932.56
4290.46,insufficient_funds,netbanking,0.87,680,16,3,3,1.0,13.87,0,25.17,8,3,1,0.3333333333333333,request_alternative_payment,1,4290.46
1801.99,expired_card,wallet,0.718,404,13,3,3,1.0,1.91,3,28.24,11,0,0,0.0,retry_later,1,1801.99
2019.42,insufficient_funds,wallet,0.655,642,18,6,2,0.3333333333333333,71.0,1,22.69,8,0,0,0.0,retry_later,1,2019.42
2396.18,card_declined,card,0.749,291,18,6,6,1.0,11.8,0,11.5,16,3,3,1.0,request_card_update,1,2396.18
7442.2,card_declined,wallet,0.817,473,20,2,1,0.5,5.11,0,8.91,3,2,2,1.0,retry_now,1,7442.2
5603.43,expired_card,card,0.737,298,24,5,5,1.0,2.74,1,20.45,13,1,1,1.0,retry_later,1,5603.43
8686.99,insufficient_funds,upi,0.722,316,20,6,5,0.8333333333333334,66.41,1,2.43,12,1,1,1.0,retry_later,1,8686.99
3552.44,insufficient_funds,card,0.978,350,20,0,0,0.0,118.68,0,31.7,13,0,0,0.0,request_card_update,1,3552.44
5676.13,network_error,card,0.513,690,18,13,10,0.7692307692307693,19.77,0,8.35,12,1,1,1.0,request_alternative_payment,1,5676.13
8247.5,expired_card,upi,0.851,150,14,2,1,0.5,4.29,2,17.26,19,2,2,1.0,retry_later,1,8247.5
3903.84,insufficient_funds,upi,0.788,167,23,2,2,1.0,3.81,1,26.18,15,1,1,1.0,request_alternative_payment,1,3903.84
7205.6,insufficient_funds,wallet,0.653,420,21,8,6,0.75,28.46,0,8.6,13,0,0,0.0,request_alternative_payment,1,7205.6
2944.38,expired_card,card,0.797,720,16,5,5,1.0,18.22,4,14.08,13,1,1,1.0,request_alternative_payment,1,2944.38
3739.66,network_error,netbanking,0.631,532,20,7,3,0.42857142857142855,14.92,2,31.5,14,1,0,0.0,retry_later,1,3739.66
3684.18,insufficient_funds,upi,0.877,954,21,2,2,1.0,48.85,3,32.18,16,1,1,1.0,request_alternative_payment,1,3684.18
1920.85,card_declined,card,0.808,427,22,4,4,1.0,30.35,0,26.88,0,2,2,1.0,request_alternative_payment,1,1920.85
7381.79,card_declined,card,0.743,112,15,3,1,0.3333333333333333,8.52,2,31.2,22,2,2,1.0,retry_later,0,0.0
3434.65,network_error,netbanking,0.786,601,20,3,2,0.6666666666666666,56.61,1,96.0,0,0,0,0.0,request_card_update,0,0.0
5050.23,card_declined,netbanking,0.935,1142,16,3,2,0.6666666666666666,8.29,2,2.59,2,0,0,0.0,retry_later,1,5050.23
7345.11,network_error,card,0.623,361,15,6,5,0.8333333333333334,38.69,0,14.32,14,0,0,0.0,request_alternative_payment,1,7345.11
7146.79,insufficient_funds,card,0.843,646,16,2,2,1.0,24.72,1,10.71,17,0,0,0.0,retry_later,1,7146.79
8514.29,network_error,upi,0.828,550,17,4,4,1.0,38.34,0,7.17,17,1,1,1.0,retry_later,1,8514.29
4621.18,insufficient_funds,upi,0.807,479,14,3,3,1.0,7.74,0,23.36,12,2,2,1.0,retry_later,1,4621.18
3563.7,expired_card,upi,0.85,440,13,1,1,1.0,18.46,0,66.33,9,2,2,1.0,retry_later,1,3563.7
4691.08,insufficient_funds,netbanking,0.826,491,20,2,2,1.0,8.67,1,9.18,8,1,1,1.0,retry_now,1,4691.08
1296.37,insufficient_funds,card,0.688,1232,12,3,2,0.6666666666666666,37.03,2,2.21,14,2,2,1.0,request_alternative_payment,0,0.0
1571.06,insufficient_funds,card,0.653,142,24,8,7,0.875,25.54,1,23.71,2,1,1,1.0,request_alternative_payment,1,1571.06
1735.47,insufficient_funds,card,0.947,435,16,1,1,1.0,22.77,0,48.37,15,2,2,1.0,retry_later,1,1735.47
2251.6,card_declined,wallet,0.674,188,21,9,7,0.7777777777777778,7.69,2,8.94,17,0,0,0.0,retry_later,0,0.0
6884.4,network_error,upi,0.683,575,16,9,5,0.5555555555555556,3.0,2,1.96,4,0,0,0.0,request_alternative_payment,0,0.0
2423.12,expired_card,card,0.889,260,17,3,3,1.0,90.61,0,32.44,3,1,1,1.0,retry_now,0,0.0
3694.73,card_declined,netbanking,0.98,333,20,1,1,1.0,53.07,0,16.42,19,0,0,0.0,request_alternative_payment,0,0.0
14137.35,card_declined,upi,0.561,203,18,8,3,0.375,23.44,2,1.93,13,1,1,1.0,request_card_update,0,0.0
3760.03,insufficient_funds,card,0.615,666,14,4,2,0.5,12.51,0,4.36,17,0,0,0.0,request_card_update,1,3760.03
9020.05,network_error,card,0.826,601,21,5,4,0.8,3.63,1,2.89,7,1,1,1.0,request_card_update,1,9020.05
2369.18,insufficient_funds,netbanking,0.878,381,14,3,3,1.0,23.58,1,22.86,8,0,0,0.0,retry_now,1,2369.18
4242.22,insufficient_funds,upi,0.932,455,21,2,2,1.0,23.28,1,2.16,6,3,3,1.0,request_alternative_payment,1,4242.22
2338.29,insufficient_funds,card,0.831,86,14,1,1,1.0,1.65,0,9.46,2,1,1,1.0,retry_now,1,2338.29
3812.22,insufficient_funds,card,0.819,519,21,6,6,1.0,82.49,0,5.71,2,1,1,1.0,request_card_update,1,3812.22
9793.16,card_declined,card,0.575,398,19,5,4,0.8,26.59,0,8.0,17,2,0,0.0,request_alternative_payment,1,9793.16
1255.56,insufficient_funds,upi,0.695,254,13,4,1,0.25,1.36,0,8.42,21,0,0,0.0,retry_later,1,1255.56
7077.9,insufficient_funds,card,0.916,850,19,1,1,1.0,11.77,2,3.36,22,2,1,0.5,request_card_update,1,7077.9
6047.39,network_error,card,0.782,349,21,3,3,1.0,44.56,0,30.48,11,1,1,1.0,request_alternative_payment,1,6047.39
3108.43,insufficient_funds,card,0.764,101,19,6,6,1.0,34.66,0,6.61,2,2,2,1.0,retry_now,1,3108.43
1572.38,card_declined,wallet,0.912,1037,24,0,0,0.0,0.71,1,11.83,15,1,1,1.0,request_alternative_payment,1,1572.38
5297.0,card_declined,upi,0.908,399,20,3,3,1.0,35.76,0,3.03,18,2,2,1.0,request_alternative_payment,1,5297.0
3273.45,expired_card,card,0.713,332,21,5,5,1.0,30.77,2,17.81,7,1,0,0.0,retry_now,0,0.0
6022.96,network_error,upi,0.755,1328,15,2,2,1.0,18.86,1,1.12,21,2,2,1.0,retry_now,1,6022.96
5088.18,insufficient_funds,upi,0.831,590,20,3,3,1.0,15.87,0,72.08,9,0,0,0.0,request_alternative_payment,0,0.0
18008.81,expired_card,netbanking,0.917,487,16,1,1,1.0,20.21,2,8.62,23,2,2,1.0,request_card_update,1,18008.81
4128.66,card_declined,wallet,0.78,234,23,5,4,0.8,22.04,3,3.66,3,1,0,0.0,retry_now,1,4128.66
2204.81,insufficient_funds,upi,0.872,649,26,6,6,1.0,93.06,0,9.29,10,1,1,1.0,retry_now,1,2204.81
5771.08,network_error,upi,0.758,325,16,2,1,0.5,7.89,0,6.55,16,1,1,1.0,request_card_update,0,0.0
5962.17,network_error,card,0.869,537,23,3,3,1.0,19.76,0,96.0,14,0,0,0.0,request_card_update,1,5962.17
14832.01,insufficient_funds,netbanking,0.76,424,20,6,5,0.8333333333333334,37.57,2,31.08,22,0,0,0.0,retry_later,0,0.0
9752.53,card_declined,upi,0.701,206,13,4,4,1.0,77.82,0,20.39,10,0,0,0.0,retry_later,1,9752.53
6652.11,insufficient_funds,card,0.872,738,15,2,2,1.0,14.89,0,19.62,15,1,0,0.0,retry_later,1,6652.11
16120.31,card_declined,upi,0.689,1393,10,3,2,0.6666666666666666,15.42,1,2.5,13,3,1,0.3333333333333333,retry_now,0,0.0
1931.75,expired_card,card,0.914,447,21,1,1,1.0,21.21,0,55.4,21,1,1,1.0,retry_later,0,0.0
2997.07,card_declined,upi,0.514,397,23,15,12,0.8,1.1,2,4.45,5,3,2,0.6666666666666666,retry_now,0,0.0
2382.56,expired_card,card,0.807,523,14,4,4,1.0,21.91,2,3.86,0,1,1,1.0,retry_now,1,2382.56
3660.46,insufficient_funds,card,0.828,561,23,5,5,1.0,37.3,1,89.32,5,2,2,1.0,retry_now,1,3660.46
1662.11,network_error,card,0.775,332,22,6,6,1.0,4.11,2,27.3,14,1,0,0.0,retry_now,1,1662.11
8310.82,expired_card,card,0.808,471,17,2,2,1.0,6.85,1,96.0,12,1,1,1.0,request_card_update,1,8310.82
4185.64,network_error,card,0.87,516,19,5,5,1.0,5.59,0,13.59,2,0,0,0.0,retry_now,1,4185.64
1541.56,insufficient_funds,upi,0.705,434,14,6,5,0.8333333333333334,14.5,1,16.7,17,1,1,1.0,retry_later,0,0.0
2218.82,insufficient_funds,upi,0.863,663,14,0,0,0.0,10.39,1,6.57,1,1,0,0.0,retry_later,1,2218.82
6425.34,insufficient_funds,upi,0.875,729,17,3,3,1.0,18.29,0,66.28,22,2,2,1.0,retry_now,1,6425.34
9776.09,card_declined,card,0.909,487,18,2,2,1.0,34.38,2,33.43,22,1,1,1.0,retry_later,1,9776.09
24700.48,expired_card,netbanking,0.851,707,17,2,2,1.0,13.54,2,73.18,22,1,1,1.0,request_card_update,0,0.0
50000.0,card_declined,netbanking,0.792,698,14,3,3,1.0,96.33,0,11.25,22,0,0,0.0,request_alternative_payment,0,0.0
6965.47,insufficient_funds,upi,0.855,326,14,1,1,1.0,38.79,0,37.54,3,1,1,1.0,retry_now,1,6965.47
2265.53,insufficient_funds,upi,0.931,381,22,1,1,1.0,27.77,2,34.14,19,1,1,1.0,retry_now,1,2265.53
908.28,card_declined,netbanking,0.717,795,12,4,3,0.75,26.79,1,13.34,14,1,1,1.0,request_card_update,0,0.0
6194.16,card_declined,upi,0.833,705,15,3,1,0.3333333333333333,5.38,1,15.24,12,3,2,0.6666666666666666,request_alternative_payment,1,6194.16
2609.31,insufficient_funds,card,0.717,334,19,4,3,0.75,36.06,0,75.09,15,1,1,1.0,request_alternative_payment,0,0.0
3586.41,network_error,upi,0.711,339,14,6,5,0.8333333333333334,11.01,1,1.86,13,0,0,0.0,retry_later,1,3586.41
3064.12,insufficient_funds,card,0.808,189,15,2,1,0.5,71.43,2,19.1,17,3,2,0.6666666666666666,request_card_update,1,3064.12
4467.39,card_declined,netbanking,0.699,549,17,7,4,0.5714285714285714,42.73,1,6.78,16,1,0,0.0,request_card_update,1,4467.39
11730.85,card_declined,upi,0.986,259,18,0,0,0.0,10.43,2,0.6,7,1,1,1.0,retry_now,1,11730.85
5669.36,insufficient_funds,wallet,0.842,305,15,0,0,0.0,45.23,1,5.88,19,0,0,0.0,retry_later,1,5669.36
4404.07,card_declined,card,0.787,234,18,4,4,1.0,13.11,2,35.23,7,1,1,1.0,retry_later,1,4404.07
2183.47,network_error,upi,0.778,465,20,2,2,1.0,3.81,0,8.25,16,0,0,0.0,retry_now,1,2183.47
1309.56,card_declined,upi,0.909,278,14,2,1,0.5,79.97,0,11.34,8,0,0,0.0,request_alternative_payment,1,1309.56
3388.51,network_error,netbanking,0.736,308,15,2,2,1.0,16.1,1,7.2,1,0,0,0.0,retry_later,1,3388.51
4789.43,card_declined,netbanking,0.767,459,17,8,6,0.75,25.29,3,9.51,18,3,3,1.0,request_card_update,0,0.0
20568.93,insufficient_funds,card,0.768,490,20,4,4,1.0,37.06,0,5.18,4,1,1,1.0,retry_later,1,20568.93
5549.22,expired_card,wallet,0.542,368,23,8,4,0.5,53.41,0,0.85,4,2,1,0.5,retry_later,1,5549.22
10975.1,expired_card,wallet,0.803,501,18,3,3,1.0,48.22,3,4.23,16,1,0,0.0,request_alternative_payment,0,0.0
3353.49,insufficient_funds,wallet,0.82,127,20,6,6,1.0,40.96,0,24.04,7,3,3,1.0,retry_later,1,3353.49
1937.66,expired_card,upi,0.827,416,21,5,5,1.0,47.48,0,20.55,12,1,0,0.0,retry_now,1,1937.66
2310.22,network_error,netbanking,0.823,440,21,3,3,1.0,0.81,0,7.56,9,1,1,1.0,request_alternative_payment,1,2310.22
2798.99,insufficient_funds,card,0.477,551,23,11,7,0.6363636363636364,61.94,3,10.99,2,1,1,1.0,request_card_update,0,0.0
27445.82,card_declined,card,0.58,538,17,14,8,0.5714285714285714,34.4,0,37.22,2,0,0,0.0,request_card_update,0,0.0
2591.74,insufficient_funds,card,0.845,271,18,1,1,1.0,9.42,0,39.06,12,3,3,1.0,retry_now,1,2591.74
9778.92,card_declined,upi,0.767,696,19,4,3,0.75,2.62,0,5.81,20,0,0,0.0,request_alternative_payment,1,9778.92
2428.07,expired_card,wallet,0.884,1439,12,1,1,1.0,44.16,0,8.69,16,3,2,0.6666666666666666,request_card_update,1,2428.07
10534.93,card_declined,upi,0.883,383,16,0,0,0.0,4.94,0,15.57,14,1,1,1.0,request_card_update,1,10534.93
6803.24,card_declined,upi,0.826,670,26,3,3,1.0,16.41,0,22.11,12,0,0,0.0,request_alternative_payment,1,6803.24
4411.12,insufficient_funds,netbanking,0.486,389,17,11,7,0.6363636363636364,2.26,1,20.36,14,2,1,0.5,request_card_update,0,0.0
4839.58,card_declined,upi,0.954,251,23,0,0,0.0,38.41,1,20.46,3,0,0,0.0,retry_now,1,4839.58
2961.24,network_error,upi,0.779,913,18,5,5,1.0,8.7,0,56.41,22,2,2,1.0,retry_later,0,0.0
7144.16,insufficient_funds,upi,0.975,350,24,1,1,1.0,7.87,1,6.22,11,2,2,1.0,request_alternative_payment,1,7144.16
3474.5,card_declined,upi,0.527,1108,20,8,6,0.75,10.02,4,5.26,16,0,0,0.0,request_card_update,0,0.0
1875.65,card_declined,upi,0.751,299,18,5,3,0.6,43.96,0,43.47,7,1,0,0.0,retry_now,0,0.0
1798.74,network_error,netbanking,0.863,680,23,0,0,0.0,3.09,1,9.45,0,2,2,1.0,retry_now,1,1798.74
5740.28,network_error,upi,0.752,732,13,3,1,0.3333333333333333,32.79,3,54.88,17,4,3,0.75,request_card_update,0,0.0
17684.9,network_error,card,0.877,221,11,2,2,1.0,3.02,1,5.38,9,3,2,0.6666666666666666,request_card_update,1,17684.9
5682.73,card_declined,upi,0.947,226,23,1,1,1.0,10.15,0,3.5,6,0,0,0.0,retry_now,1,5682.73
4547.27,card_declined,wallet,0.905,292,25,2,2,1.0,34.29,0,20.3,12,1,1,1.0,request_card_update,1,4547.27
6284.58,network_error,card,0.509,310,20,13,3,0.23076923076923078,4.91,0,3.17,3,2,0,0.0,retry_now,1,6284.58
14214.17,network_error,netbanking,0.608,847,9,4,4,1.0,14.03,1,0.25,9,1,1,1.0,retry_now,1,14214.17
5959.25,card_declined,upi,0.668,1420,26,10,5,0.5,38.72,1,1.36,14,1,1,1.0,request_alternative_payment,1,5959.25
3599.14,expired_card,card,0.906,355,22,3,3,1.0,15.85,2,16.71,23,1,1,1.0,retry_now,1,3599.14
12115.3,insufficient_funds,upi,0.884,252,19,1,1,1.0,10.91,0,0.91,15,3,3,1.0,retry_now,1,12115.3
7045.88,insufficient_funds,card,0.642,425,12,7,4,0.5714285714285714,15.06,0,11.92,0,2,1,0.5,retry_later,0,0.0
17082.3,expired_card,card,0.645,850,22,8,5,0.625,35.25,1,42.34,3,2,2,1.0,retry_now,0,0.0
5789.38,insufficient_funds,card,0.871,289,18,2,2,1.0,43.64,2,6.45,17,2,2,1.0,retry_later,1,5789.38
1877.35,expired_card,upi,0.633,185,16,4,3,0.75,7.55,1,18.34,8,4,3,0.75,retry_later,1,1877.35
1673.49,card_declined,upi,0.799,447,21,3,3,1.0,46.16,1,13.89,5,2,2,1.0,request_card_update,1,1673.49
18731.01,expired_card,upi,0.903,513,16,2,2,1.0,3.7,3,54.69,0,1,1,1.0,request_card_update,0,0.0
19853.3,card_declined,upi,0.954,331,15,2,2,1.0,4.68,3,11.47,16,1,1,1.0,request_alternative_payment,1,19853.3
4331.1,network_error,card,0.573,791,11,5,3,0.6,14.58,2,28.59,10,2,0,0.0,request_card_update,1,4331.1
3679.91,network_error,netbanking,0.618,407,20,7,5,0.7142857142857143,18.45,1,11.92,5,0,0,0.0,request_alternative_payment,1,3679.91
16096.36,card_declined,wallet,0.829,686,12,2,2,1.0,15.93,0,7.02,11,2,2,1.0,request_alternative_payment,1,16096.36
2062.26,card_declined,netbanking,0.364,132,20,11,5,0.45454545454545453,6.91,2,10.64,7,0,0,0.0,retry_later,0,0.0
2444.05,insufficient_funds,card,0.807,285,19,3,3,1.0,12.73,1,11.07,9,0,0,0.0,retry_now,1,2444.05
8365.36,insufficient_funds,wallet,0.873,456,20,1,1,1.0,49.81,1,25.72,9,0,0,0.0,retry_later,1,8365.36
3646.45,expired_card,netbanking,0.975,454,19,1,1,1.0,99.78,0,7.77,4,1,1,1.0,retry_now,1,3646.45
4979.55,insufficient_funds,card,0.742,727,17,6,4,0.6666666666666666,8.22,0,2.88,23,0,0,0.0,retry_now,1,4979.55
4387.17,network_error,card,0.915,678,21,1,1,1.0,25.12,0,11.1,23,0,0,0.0,request_card_update,1,4387.17
6550.21,card_declined,card,0.854,338,16,1,1,1.0,6.7,0,20.89,12,1,1,1.0,retry_later,1,6550.21
15416.27,insufficient_funds,upi,0.675,279,16,7,5,0.7142857142857143,83.24,1,2.07,15,2,1,0.5,request_card_update,0,0.0
5375.79,expired_card,upi,0.758,417,21,7,7,1.0,57.89,0,1.84,23,0,0,0.0,request_alternative_payment,0,0.0
8369.46,insufficient_funds,card,0.951,514,12,2,2,1.0,51.15,2,37.35,12,1,1,1.0,retry_later,1,8369.46
969.77,card_declined,card,0.794,295,17,3,2,0.6666666666666666,0.5,0,9.03,16,0,0,0.0,retry_now,1,969.77
4808.88,card_declined,upi,0.81,697,16,7,6,0.8571428571428571,21.07,1,7.2,20,1,1,1.0,retry_later,1,4808.88
2546.84,insufficient_funds,upi,0.854,619,18,4,4,1.0,11.72,1,7.31,11,0,0,0.0,retry_later,1,2546.84
1885.87,insufficient_funds,upi,0.664,311,21,9,5,0.5555555555555556,14.24,3,36.16,6,3,1,0.3333333333333333,request_alternative_payment,1,1885.87
2476.67,network_error,card,0.827,236,21,3,3,1.0,7.67,1,6.88,9,3,1,0.3333333333333333,retry_later,1,2476.67
3827.22,insufficient_funds,upi,0.789,748,21,8,7,0.875,5.75,0,40.26,3,0,0,0.0,request_card_update,1,3827.22
10403.68,network_error,wallet,0.721,1016,13,4,4,1.0,9.76,0,29.65,11,2,2,1.0,retry_now,1,10403.68
1730.35,card_declined,card,0.569,601,22,4,2,0.5,13.17,0,96.0,10,0,0,0.0,request_alternative_payment,1,1730.35
5124.04,insufficient_funds,upi,0.656,484,26,11,7,0.6363636363636364,14.12,2,3.53,4,1,0,0.0,request_card_update,0,0.0
